,B - Large groups of  main cereals and other categories of domesticated plants,
,Dom. Cereals and others,TaxaCode
1,Oat,AVENSAT+AVENNUD
2,Rye,SECACER+SECASPE
3,Millet,PANIMIL+PANISPE+SETAITA
4,Barley,HORDSRT+HORSHUL+HORSHUS+HORDDIN+HORSNAK+HORSNAS+HORDDIS+HORDHEX+HORSHUN
5,Wheat,TRIACO+TRIAEST+TRITCOM+TRITDUR+TRITFTW+TRITWH+TRIAETU+TRIANPA+TRITDUT+TRITPAR+TRIFTWT+TRITSPH+TRITDIC+TRITDIO+TRITMON+TRITMOT+TRITMOD+TRITNGW+TRITTIM+TRITGLW+TRDINGW+TRIDISP+TRIDITI+TRIMODI+TRMODIS+TRMODIT+TRITMGW+TRTMOTI+TRITSPL+TRIAHSP+TRITFGW+TRITSPE+TRDIDUA
6,Indet.domestic cereals,TRITHOR+TRITSEC+AVENHOR+CERINDO
7,Pulses,CICEARI+LATHSAT+LEGUINL+LENSCUL+LENSSPE+LENSVIC+PISUSAA+PISUSAT+PISUSPE+VICIERV+VICIFAB+VICISAT+VICSYFA
8,Fruits-berries,CUCUMEL+PRUNDOM+PYRUCOM+MALUPUM+VITIVIN
9,Oil plant,CAMESAT+LINUSIC+LINUUSI+PAPASOM+OLEAEV
10,Fiber plants,CANNSAT+LINUSIC+LINUUSI
